,subject_id,acc_x,acc_y,acc_z,label,floor
418,0,-1.65479,0.8457,0.02173,null_class,null_class
419,0,-1.24243,0.64648,-0.09033,null_class,null_class
420,0,-0.90942,0.58789,-0.51904,null_class,null_class
421,0,-0.52563,0.63062,-0.63208,null_class,null_class
422,0,-0.71973,0.43604,-0.37866,null_class,null_class
423,0,-1.13989,0.66797,-0.26099,null_class,null_class
424,0,-1.6001,0.48755,-0.02954,null_class,null_class
425,0,-0.9707,0.2207,0.02734,null_class,null_class
426,0,-0.65112,0.2334,0.02002,null_class,null_class
427,0,-0.76978,0.06812,-0.03345,null_class,null_class
428,0,-1.01807,0.19263,-0.10376,null_class,null_class
429,0,-1.26929,0.4519,-0.14844,null_class,null_class
430,0,-1.47437,0.61475,-0.27466,null_class,null_class
431,0,-1.24536,0.40649,-0.08472,null_class,null_class
432,0,-0.68921,0.59155,-0.11938,null_class,null_class
433,0,-0.4231,0.83228,-0.2981,null_class,null_class
434,0,-0.77051,0.57544,-0.34033,null_class,null_class
435,0,-1.14063,0.66357,-0.46411,null_class,null_class
436,0,-1.50757,0.73853,-0.302,null_class,null_class
437,0,-1.5293,0.55811,-0.10229,climbing_stairs,floor_0
438,0,-1.13281,0.37769,0.0564,climbing_stairs,floor_0
439,0,-0.98853,0.17627,0.12378,climbing_stairs,floor_0
440,0,-1.04907,-0.04395,0.05835,climbing_stairs,floor_0
441,0,-1.052,-0.04321,0.13965,climbing_stairs,floor_0
442,0,-1.25513,0.34424,0.03955,climbing_stairs,floor_0
443,0,-1.20972,0.43604,-0.01636,climbing_stairs,floor_0
444,0,-0.76611,0.51855,-0.20703,climbing_stairs,floor_0
445,0,-0.62671,0.62793,-0.68237,climbing_stairs,floor_0
446,0,-0.77051,0.70947,-0.60815,climbing_stairs,floor_0
447,0,-1.46362,0.71411,-0.44531,climbing_stairs,floor_0
448,0,-1.7373,0.62231,-0.2771,climbing_stairs,floor_0
449,0,-1.44775,0.53174,-0.00952,climbing_stairs,floor_0
450,0,-0.92749,0.15967,0.07275,climbing_stairs,floor_0
451,0,-0.60352,0.04932,0.01782,climbing_stairs,floor_0
452,0,-0.74585,0.05908,-0.07544,climbing_stairs,floor_0
453,0,-1.0127,0.15332,-0.05054,climbing_stairs,floor_0
454,0,-1.43921,0.65674,-0.12012,climbing_stairs,floor_0
455,0,-1.30225,0.86792,-0.14429,climbing_stairs,floor_0
456,0,-0.99438,0.60986,-0.09497,climbing_stairs,floor_0
457,0,-0.68555,0.5061,-0.12231,climbing_stairs,floor_0
458,0,-0.34399,0.50464,-0.09326,climbing_stairs,floor_0
459,0,-0.57202,0.56982,-0.09717,climbing_stairs,floor_0
460,0,-1.19092,0.60693,-0.28931,climbing_stairs,floor_0
461,0,-1.24292,0.50537,-0.33252,climbing_stairs,floor_0
462,0,-1.21655,0.38574,-0.17188,climbing_stairs,floor_0
463,0,-0.98926,0.38672,-0.27466,climbing_stairs,floor_0
464,0,-0.94678,0.41895,-0.3833,climbing_stairs,floor_0
465,0,-0.82617,0.13379,-0.19287,climbing_stairs,floor_0
466,0,-0.6394,0.25146,-0.11279,climbing_stairs,floor_0
467,0,-1.08545,0.42896,0.13281,climbing_stairs,floor_0
468,0,-1.28003,0.62476,-0.0459,climbing_stairs,floor_0
469,0,-1.12524,0.43823,-0.08398,climbing_stairs,floor_0
470,0,-0.71387,0.26416,-0.08887,climbing_stairs,floor_0
471,0,-0.57129,0.55396,-0.12891,climbing_stairs,floor_0
472,0,-0.71631,0.64771,-0.24634,climbing_stairs,floor_0
473,0,-0.94043,0.604,-0.521,climbing_stairs,floor_0
474,0,-1.19116,0.46094,-0.49731,climbing_stairs,floor_0
475,0,-1.42334,0.57446,-0.37866,climbing_stairs,floor_0
476,0,-1.21655,0.35132,-0.20923,climbing_stairs,floor_0
477,0,-0.89038,0.21484,-0.13818,climbing_stairs,floor_0
